"(row, OceanActionID)",sdg,sdg_count,trg,trg_count,sdg-trg,trg-sdg
"(1, '16727')",['06' '09' '11' '12' '14' '17'],6,['06' '09' '11' '12' '14' '17'],6,[],[]
"(2, '18064')",['12' '13' '14' '17'],4,['12' '14'],2,['13' '17'],[]
"(3, '20468')",['03' '06' '07' '11' '12' '13' '14'],7,['06' '11' '12' '14'],4,['03' '07' '13'],[]
"(4, '21832')",[],0,[],0,[],[]
"(5, '20269')",['14'],1,['14'],1,[],[]
"(6, '21680')",['14'],1,['14'],1,[],[]
"(7, '21692')",['14'],1,['14'],1,[],[]
"(8, '17334')",['14'],1,['14'],1,[],[]
"(9, '17992')",['14'],1,['14'],1,[],[]
"(10, '17989')",['14'],1,['14'],1,[],[]
"(11, '16625')",['03' '08' '10' '13' '14' '16' '17'],7,['08' '13' '14' '17'],4,['03' '10' '16'],[]
"(12, '21468')",['14' '17'],2,['14' '17'],2,[],[]
"(13, '17326')",['14'],1,['14'],1,[],[]
"(14, '15740')",['14'],1,['14'],1,[],[]
"(15, '18733')",['02' '05' '06' '11' '14'],5,['02' '05' '06' '14'],4,['11'],[]
"(16, '18553')",['12' '14'],2,['14'],1,['12'],[]
"(17, '17094')",['01' '02' '03' '06' '08' '12' '14' '15' '16' '17'],10,['01' '02' '03' '06' '08' '12' '14' '15' '16' '17'],10,[],[]
"(18, '16762')",['14'],1,['14'],1,[],[]
"(19, '16439')",['14'],1,['14'],1,[],[]
"(20, '16688')",['01' '02' '06' '13' '14' '15' '16' '17'],8,['14'],1,['01' '02' '06' '13' '15' '16' '17'],[]
"(21, '16292')",['04' '13' '14'],3,['04' '13' '14'],3,[],[]
"(22, '18037')",['13' '14'],2,['13' '14'],2,[],[]
"(23, '14803')",['14'],1,['14'],1,[],[]
"(24, '19313')",['06' '14'],2,['06' '14'],2,[],[]
"(25, '16670')",['06' '07' '08' '09' '12' '13' '14' '15'],8,['14'],1,['06' '07' '08' '09' '12' '13' '15'],[]
"(26, '14771')",['14'],1,['14'],1,[],[]
"(27, '16538')",['14'],1,['14'],1,[],[]
"(28, '16331')",['14'],1,['14'],1,[],[]
