"(row, OceanActionID)",sdg,sdg_count,trg,trg_count,sdg-trg,trg-sdg
"(2, '18064')",['12' '13' '14' '17'],4,['12' '14'],2,['13' '17'],[]
"(3, '20468')",['03' '06' '07' '11' '12' '13' '14'],7,['06' '11' '12' '14'],4,['03' '07' '13'],[]
"(11, '16625')",['03' '08' '10' '13' '14' '16' '17'],7,['08' '13' '14' '17'],4,['03' '10' '16'],[]
"(15, '18733')",['02' '05' '06' '11' '14'],5,['02' '05' '06' '14'],4,['11'],[]
"(16, '18553')",['12' '14'],2,['14'],1,['12'],[]
"(20, '16688')",['01' '02' '06' '13' '14' '15' '16' '17'],8,['14'],1,['01' '02' '06' '13' '15' '16' '17'],[]
"(25, '16670')",['06' '07' '08' '09' '12' '13' '14' '15'],8,['14'],1,['06' '07' '08' '09' '12' '13' '15'],[]
"(30, '17530')",['06' '12' '14' '15'],4,['14'],1,['06' '12' '15'],[]
"(39, '18678')",['02' '03' '14'],3,['14'],1,['02' '03'],[]
"(42, '17638')",['08' '12' '14' '17'],4,['14'],1,['08' '12' '17'],[]
"(46, '16046')",['01' '02' '03' '12' '14' '17'],6,['14'],1,['01' '02' '03' '12' '17'],[]
"(49, '18424')",['02' '14'],2,['14'],1,['02'],[]
"(51, '15422')",['01' '02' '08' '11' '13' '14'],6,['14'],1,['01' '02' '08' '11' '13'],[]
"(57, '15491')",['02' '03' '04' '06' '07' '08' '09' '11' '12' '13' '14' '15' '16' '17'],14,['14'],1,['02' '03' '04' '06' '07' '08' '09' '11' '12' '13' '15' '16' '17'],[]
"(63, '20464')",['13' '14'],2,['14'],1,['13'],[]
"(69, '19579')",['01' '02' '05' '08' '10' '12' '13' '14' '15'],9,['14'],1,['01' '02' '05' '08' '10' '12' '13' '15'],[]
"(80, '20664')",['01' '02' '03' '05' '08' '14'],6,['14'],1,['01' '02' '03' '05' '08'],[]
"(82, '18518')",['13' '14'],2,['14'],1,['13'],[]
"(90, '20612')",['14' '16'],2,['14'],1,['16'],[]
"(96, '19674')",['04' '12' '14'],3,['14'],1,['04' '12'],[]
"(103, '21516')",['01' '13' '14' '17'],4,['13' '14' '17'],3,['01'],[]
"(106, '14951')",['01' '02' '14'],3,['14'],1,['01' '02'],[]
"(111, '19325')",['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '14' '17'],15,['14'],1,['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '17'],[]
"(112, '18328')",['01' '02' '04' '05' '07' '08' '09' '10' '12' '13' '14' '17'],12,['14'],1,['01' '02' '04' '05' '07' '08' '09' '10' '12' '13' '17'],[]
"(117, '18301')",['01' '02' '13' '14' '17'],5,['14'],1,['01' '02' '13' '17'],[]
"(126, '15877')",['02' '13' '14'],3,['13' '14'],2,['02'],[]
"(128, '16422')",['01' '02' '03' '05' '12' '13' '14' '15'],8,['14'],1,['01' '02' '03' '05' '12' '13' '15'],[]
"(134, '20844')",['06' '12' '14'],3,['14'],1,['06' '12'],[]
"(135, '19333')",['12' '14'],2,['14'],1,['12'],[]
"(136, '14672')",['11' '12' '14'],3,['12' '14'],2,['11'],[]
"(137, '17860')",['13' '14' '17'],3,['14'],1,['13' '17'],[]
"(150, '17743')",['12' '14' '17'],3,['14'],1,['12' '17'],[]
"(153, '16002')",['13' '14'],2,['14'],1,['13'],[]
"(159, '16510')",['07' '13' '14'],3,['07' '14'],2,['13'],[]
"(164, '16691')",['11' '14'],2,['14'],1,['11'],[]
"(165, '15374')",['12' '14' '15' '16' '17'],5,['14' '17'],2,['12' '15' '16'],[]
"(169, '21720')",['03' '04' '06' '07' '13' '14' '16' '17'],8,['03' '06' '07' '13' '14' '16' '17'],7,['04'],[]
"(180, '17929')",['01' '02' '14' '15' '17'],5,['01' '02' '14'],3,['15' '17'],[]
"(183, '15404')",['13' '14' '17'],3,['13' '14'],2,['17'],[]
"(187, '19714')",['01' '02' '03' '06' '11' '13' '14' '15' '16' '17'],10,['14'],1,['01' '02' '03' '06' '11' '13' '15' '16' '17'],[]
"(190, '18445')",['01' '02' '14' '16'],4,['01' '14'],2,['02' '16'],[]
"(193, '17198')",['14' '17'],2,['14'],1,['17'],[]
"(195, '21532')",['05' '06' '07' '08' '09' '11' '13' '14'],8,['14'],1,['05' '06' '07' '08' '09' '11' '13'],[]
"(202, '19609')",['01' '02' '04' '05' '08' '09' '10' '12' '13' '14'],10,['14'],1,['01' '02' '04' '05' '08' '09' '10' '12' '13'],[]
"(208, '14492')",['04' '14' '17'],3,['14'],1,['04' '17'],[]
"(213, '21428')",['01' '14' '17'],3,['01' '14'],2,['17'],[]
"(220, '16640')",['01' '02' '03' '05' '06' '08' '12' '13' '14' '15'],10,['14'],1,['01' '02' '03' '05' '06' '08' '12' '13' '15'],[]
"(221, '16646')",['01' '02' '03' '04' '05' '06' '08' '10' '11' '12' '13' '14' '15' '16' '17'],15,['14'],1,['01' '02' '03' '04' '05' '06' '08' '10' '11' '12' '13' '15' '16' '17'],[]
"(224, '20229')",['10' '12' '14'],3,['14'],1,['10' '12'],[]
"(225, '18543')",['02' '14'],2,['14'],1,['02'],[]
"(226, '18121')",['14' '15'],2,['14'],1,['15'],[]
"(230, '17872')",['01' '13' '14' '15' '17'],5,['14'],1,['01' '13' '15' '17'],[]
"(233, '14548')",['02' '14'],2,['14'],1,['02'],[]
"(236, '16430')",['02' '14'],2,['14'],1,['02'],[]
"(237, '18016')",['05' '14'],2,['14'],1,['05'],[]
"(243, '20672')",['14' '15' '17'],3,['14'],1,['15' '17'],[]
"(244, '21424')",['01' '02' '08' '13' '14'],5,['14'],1,['01' '02' '08' '13'],[]
"(245, '18376')",['14' '15'],2,['14'],1,['15'],[]
"(248, '18403')",['12' '13' '14' '17'],4,['14'],1,['12' '13' '17'],[]
"(249, '17773')",['02' '12' '14' '15' '16' '17'],6,['14'],1,['02' '12' '15' '16' '17'],[]
"(251, '21664')",['11' '13' '14'],3,['11' '14'],2,['13'],[]
"(252, '14423')",['02' '14'],2,['14'],1,['02'],[]
"(255, '16679')",['02' '08' '09' '14' '16' '17'],6,['14'],1,['02' '08' '09' '16' '17'],[]
"(263, '19519')",['10' '11' '13' '14'],4,['14'],1,['10' '11' '13'],[]
"(273, '21440')",['01' '13' '14' '17'],4,['01' '14'],2,['13' '17'],[]
"(280, '18361')",['07' '08' '09' '13' '14'],5,['14'],1,['07' '08' '09' '13'],[]
"(287, '21552')",['01' '08' '09' '10' '14' '16' '17'],7,['01' '08' '10' '14' '16' '17'],6,['09'],[]
"(295, '19929')",['01' '02' '03' '05' '08' '10' '12' '13' '14'],9,['14'],1,['01' '02' '03' '05' '08' '10' '12' '13'],[]
"(298, '16982')",['08' '14'],2,['14'],1,['08'],[]
"(299, '20544')",['09' '12' '14' '15' '17'],5,['12' '14'],2,['09' '15' '17'],[]
"(306, '20524')",['03' '12' '14' '15' '17'],5,['14'],1,['03' '12' '15' '17'],[]
"(316, '18256')",['14' '15'],2,['14'],1,['15'],[]
"(317, '15266')",['01' '08' '13' '14' '17'],5,['14'],1,['01' '08' '13' '17'],[]
"(326, '18493')",['01' '02' '08' '12' '13' '14' '15' '16' '17'],9,['14'],1,['01' '02' '08' '12' '13' '15' '16' '17'],[]
"(329, '15274')",['08' '13' '14' '17'],4,['14'],1,['08' '13' '17'],[]
"(332, '18148')",['12' '14'],2,['14'],1,['12'],[]
"(351, '12930')",['04' '07' '08' '09' '12' '13' '14' '16' '17'],9,['14'],1,['04' '07' '08' '09' '12' '13' '16' '17'],[]
"(358, '21648')",['01' '02' '14' '15' '17'],5,['14' '15'],2,['01' '02' '17'],[]
"(367, '21480')","['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '14' '15'
 '16' '17']",17,['14'],1,"['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '15' '16'
 '17']",[]
"(373, '21272')",['08' '12' '14' '17'],4,['14'],1,['08' '12' '17'],[]
